Row Labels,Lifetime Cost,Lifetime Net Profit
Hitman Sniper,"$141,200.00","$929,600.00"
H*nest Meditation,"$164,600.00","$918,800.00"
Where's My Water?,"$162,200.00","$899,600.00"
"sugar, sugar","$138,400.00","$887,200.00"
Fruit Ninja Classic,"$147,500.00","$881,000.00"
AJ Jump: Animal Jam Kangaroos!,"$158,600.00","$870,800.00"
Tsuro - The Game of the Path,"$182,200.00","$859,600.00"
Riptide GP: Renegade,"$182,200.00","$859,600.00"
Five Nights at Freddy's 3,"$182,200.00","$859,600.00"
Bloons TD 5,"$181,000.00","$850,000.00"
Grand Total,"$1,640,100.00","$8,815,800.00"
