category,count,cat_perc,total_net_profit,avg_rating
Games,41,0.445652174,"$16,010,900.00 ",4.373170732
Family,25,0.27173913,"$9,438,700.00 ",4.4
Education,7,0.076086957,"$2,771,800.00 ",4.242857143
Entertainment,4,0.043478261,"$1,684,800.00 ",4.525
Health & Fitness,4,0.043478261,"$1,578,400.00 ",4.65
Medical,2,0.02173913,"$31,600.00 ",4.35
Food & Drink,2,0.02173913,"$722,000.00 ",4.3
Lifestyle,2,0.02173913,"$784,400.00 ",4.75
Sports,1,0.010869565,"$411,400.00 ",4.4
Catalogs,1,0.010869565,"$325,000.00 ",4.5
Communication,1,0.010869565,"$420,200.00 ",4.5
Social Networking,1,0.010869565,"$420,200.00 ",4.5
Book,1,0.010869565,"$420,200.00 ",4.5
