"name","net_profit"
"Hitman Sniper","464800.000"
"H*nest Meditation","459400.000"
"Where's My Water?","449800.000"
"sugar, sugar","443600.000"
"Fruit Ninja Classic","440500.000"
"AJ Jump: Animal Jam Kangaroos!","435400.000"
"Five Nights at Freddy's 3","429800.000"
"Riptide GP: Renegade","429800.000"
"Tsuro - The Game of the Path","429800.000"
"Bloons TD 5","425000.000"
"Five Nights at Freddy's","425000.000"
"Five Nights at Freddy's 2","425000.000"
"Hitman GO","424900.000"
"Alizay, pirate girl","420200.000"
"Threema","420200.000"
"Toca Life: City","419800.000"
"Pocket Yoga","415400.000"
"The Game of Life","415400.000"
"My Talking Pet","415000.000"
"True Skate","411400.000"
"Retro City Rampage DX","409800.000"
"DRAGON QUEST","405800.000"
"Out There Chronicles - Ep. 1","401400.000"
"Toca Builders","395800.000"
"Dr. Panda & Toto's Treehouse","395400.000"
"Dr. Panda Hospital","391400.000"
"Sago Mini Babies","386200.000"
"Farming Simulator 16","385800.000"
"Battleheart Legacy","385000.000"
"Dr. Panda Supermarket","381800.000"
"Dr. Panda Farm","377000.000"
"F-Sim Space Shuttle","375400.000"
"The EO Bar","373800.000"
"Paprika Recipe Manager","361000.000"
"Don't Starve: Pocket Edition","351400.000"
"LEGO® Friends","351400.000"
"Please, Don't Touch Anything","351400.000"
"NBA JAM by EA SPORTS™","346600.000"
"LEGO Batman: DC Super Heroes","341800.000"
"RollerCoaster Tycoon® Classic","341000.000"
"My Movies Pro - Movie & TV Collection Library","325000.000"
"Grand Theft Auto: San Andreas","311400.000"
"Baldur's Gate: Enhanced Edition","256200.000"
"FINAL FANTASY V","250200.000"
"XCOM®: Enemy Within","241800.000"
"Muscle Premium - Human Anatomy, Kinesiology, Bones","15800.000"
